# name,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,discovered,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,log_g,detection_type,star_name,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max
CFBDSIR J2149-0403 b,21,19,19,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,,,Imaging,CFBDSIR J2149-0403,55.2,5.4,5.4,,,,,,,,,,,,,,,
CHXR 73 b,12,5,8,,,,,,,,,,200,,,,,,,,,2006,,,,,,,,,,,Imaging,CHXR 73,,,,,,,0.35,0,0,,,,0.002,,,,,
CI Tau b,11.6,2.7,2.9,,,,,,,8.9891,0.0202,0.0202,,,,0.25,0.16,0.16,50.5,8.5,6.3,2016,31.5,56,56,,,,,,,,Radial Velocity,CI Tau,158,1.2,1.2,,,,0.9,0.02,0.02,,,,0.002,,,,,
CT Cha b,17,6,6,,,,2.2,0.6,0.6,,,,440,,,,,,,,,2008,,,,,,,,,,,Imaging,CT Cha,165,30,30,,,,,,,,,,0.002,0.002,0.002,,,
Cha Ha 8 b,,,,25,7,7,,,,1895,132,132,1.02,0.06,0.06,0.59,0.22,0.22,,,,2007,106,26,26,2453163,214,214,,,,,Radial Velocity,Cha Ha 8,196.76,5.68,5.68,,,,0.085,0.015,0.015,,,,0.003,,,2967,57,57
CoRoT-1 b,1.03,0.12,0.12,,,,1.49,0.08,0.08,1.5089557,6.4E-06,6.4E-06,0.0254,0.0004,0.0004,0,,,83.96,0.18,0.18,2007,,,,,,,,,,,Primary Transit,CoRoT-1,460,100,100,0.06,0.07,0.07,0.95,0.15,0.15,1.11,0.05,0.05,,,,6298,66,66
CoRoT-10 b,2.75,0.14,0.14,,,,0.97,0.05,0.05,13.2406,0.0002,0.0002,0.1055,0.0021,0.0021,0.53,0.04,0.04,88.55,0.2,0.2,2010,218.9,6.4,6.4,2454990.85,0.08,0.08,,,,,Primary Transit,CoRoT-10,345,50,50,0.26,0.07,0.07,0.89,0.05,0.05,0.79,0.05,0.05,3, , ,5075,75,75
CoRoT-11 b,2.33,0.27,0.27,,,,1.43,0.033,0.033,2.994325,2.1E-05,2.1E-05,0.04351,0.00036,0.00036,0,,,81.41,0.17,0.17,2010,,,,,,,,,,,Primary Transit,CoRoT-11,560,30,30,0.04,0.03,0.03,1.27,0.05,0.05,1.36,0.13,0.13,2,1,1,6343,72,72
CoRoT-12 b,0.917,0.065,0.07,,,,1.44,0.13,0.13,2.828042,1.3E-05,1.3E-05,0.04016,0.00092,0.00092,0.07,0.042,0.042,85.48,0.77,0.77,2010,105,27,27,,,,,,,,Primary Transit,CoRoT-12,1150,85,85,0.16,0.1,0.1,1.078,0.072,0.072,1.116,0.092,0.092,6.3,3.1,3.1,5675,80,80
CoRoT-13 b,1.308,0.066,0.066,,,,0.885,0.014,0.014,4.03519,3E-05,3E-05,0.051,0.0031,0.0031,0,,,88.02,0.036,0.036,2010,,,,,,,,,,,Primary Transit,CoRoT-13,1310,100,100,0.01,0.07,0.07,1.09,0.02,0.02,1.01,0.03,0.03,1.64,1.52,1.52,5945,90,90
CoRoT-14 b,7.6,0.6,0.6,,,,1.09,0.07,0.07,1.51214,0.00013,0.00013,0.027,0.002,0.002,0,,,79.6,0.8,0.8,2010,,,,2454787.6702,,,,,,,Primary Transit,CoRoT-14,1340,110,110,0.05,0.15,0.15,1.13,0.09,0.09,1.21,0.08,0.08,4.2,3.8,3.8,6035,100,100
CoRoT-15 b,63.4,4.1,4.3,63.3,4,4,1.12,0.15,0.3,3.06036,3E-05,3E-05,0.045,0.01,0.014,0,,,86.7,3.2,2.3,2010,,,,,,,,,,,Primary Transit,CoRoT-15,,,,,,,,,,,,,,,,,,
CoRoT-16 b,0.535,0.085,0.085,,,,1.17,0.14,0.14,5.35227,0.0002,0.0002,0.0618,0.0015,0.0015,0.33,0.1,0.1,85.01,1.2,1.2,2010,168.41,21,21,,,,,,,,Primary Transit,CoRoT-16,840,90,90,0.19,0.06,0.06,1.098,0.078,0.078,1.19,0.14,0.14,6.73,2.8,2.8,5650,100,100
CoRoT-17 b,2.43,0.16,0.16,,,,1.02,0.07,0.07,3.768125,0.000257,0.000257,0.0461,0.0008,0.0008,0,,,88.34,1.54,1.54,2010,,,,,,,,,,,Primary Transit,CoRoT-17,920,50,50,0,0.1,0.1,1.04,0.1,0.1,1.59,0.07,0.07,10.7,1,1,5740,80,80
CoRoT-18 b,3.47,0.38,0.38,,,,1.31,0.18,0.18,1.9000693,2.8E-06,2.8E-06,0.0295,0.0016,0.0016,0.08, , ,86.5,0.9,0.9,2011,,,,,,,,,,,Primary Transit,CoRoT-18,870,90,90,-0.1,0.1,0.1,0.95,0.15,0.15,1,0.13,0.13,,,,5440,100,100
CoRoT-19 b,1.11,0.06,0.06,,,,1.29,0.05,0.05,3.89713,2E-05,2E-05,0.0518,0.0008,0.0008,0.047,0.045,0.045,87.61,0.37,0.37,2011,86,60,60,,,,,,,,Primary Transit,CoRoT-19,800,200,200,-0.02,0.1,0.1,1.21,0.06,0.06,1.65,0.04,0.04,5,1,1,6090,70,70
CoRoT-2 b,3.31,0.16,0.16,,,,1.465,0.029,0.029,1.7429964,1.7E-06,1.7E-06,0.0281,0.0009,0.0009,0,,,87.84,0.1,0.1,2007,,,,,,,,,,,Primary Transit,CoRoT-2,300,100,100,-0.04,0.08,0.08,0.97,0.06,0.06,0.902,0.018,0.018,,,,5575,66,66
CoRoT-20 b,4.24,0.23,0.23,,,,0.84,0.04,0.04,9.24285,0,0,0.0902,0.0021,0.0021,0.562,0.013,0.013,88.21,0.53,0.53,2011,56.3,2.4,2.4,,,,,,,,Primary Transit,CoRoT-20,1230,120,120,0.14,0.12,0.12,1.14,0.08,0.08,0.92,,,0.1,0.04,0.04,5880,90,90
CoRoT-21 b,2.26,0.31,0.31,,,,1.3,0.14,0.14,2.72474,0.00014,0.00014,0.0417,0.0011,0.0011,0,,,86.8,2.1,2.1,2011,,,,,,,,,,,Primary Transit,CoRoT-21,,,,0,0.1,0.1,1.29,0.09,0.09,1.945,0.21,0.21,4.1,0.5,0.5,6200,100,100
CoRoT-22 b,0.06,0.0214,0.0941,,,,0.4354,0.0348,0.0152,9.75598,0.00011,0.00011,0.092,0.0014,0.0014,0.077,0.042,0.3,89.749,0.9,0.032,2011,210,30,70,,,,,,,,Primary Transit,CoRoT-22,592,42,25,0.17,0.12,0.07,1.099,0.049,0.049,1.136,0.09,0.038,3.3,2,2,5939,120,54
CoRoT-23 b,2.8,0.25,0.25,,,,1.08,0.13,0.13,3.6314,0.0001,0.0001,0.0477,0.0038,0.0038,0.16,0.017,0.017,85.7,1.5,1.5,2011,51.8,9,9,,,,,,,,Primary Transit,CoRoT-23,600,50,50,0.05,0.1,0.1,1.14,0.08,0.08,1.61,0.18,0.18,7.2,1,1,5900,100,100
CoRoT-24 b,0.018, , ,,,,0.33,0.04,0.04,5.1134,0.0006,0.0006,0.056,0.002,0.002,0,,,86.5,2,2,2011,,,,,,,,,,,Primary Transit,CoRoT-24,600,70,70,0.3,0.25,0.25,0.91,0.09,0.09,0.86,0.09,0.09,11,,,4950,150,150
CoRoT-24 c,0.088,0.035,0.035,,,,0.44,0.04,0.04,11.759,0.0063,0.0063,0.098,0.003,0.003,0,,,89,1,1.6,2011,,,,,,,,,,,Primary Transit,CoRoT-24,600,70,70,0.3,0.25,0.25,0.91,0.09,0.09,0.86,0.09,0.09,11,,,4950,150,150
CoRoT-25 b,0.27,0.04,0.04,,,,1.08,0.1,0.3,4.86069,6E-05,6E-05,0.0578,0.0029,0.0029,,,,84.5,0.8,0.3,2012,,,,,,,,,,,Primary Transit,CoRoT-25,1000,85,25,-0.01,0.13,0.13,1.09,0.05,0.11,1.19,0.03,0.14,5.2,1.3,1.3,6040,90,90
CoRoT-26 b,0.52,0.05,0.05,,,,1.26,0.07,0.13,4.20474,5E-05,5E-05,0.0526,0.001,0.001,0,,,86.8,1,2.2,2012,,,,,,,,,,,Primary Transit,CoRoT-26,1670,205,110,0.01,0.13,0.13,1.09,0.06,0.06,1.79,0.09,0.18,8.6,1.8,0.9,5590,100,100
CoRoT-27 b,10.39,0.55,0.55,,,,1.007,0.044,0.044,3.57532,6E-05,6E-05,0.0476,0.0066,0.0066,0.065,0.065,0,86.7,0.87,1.2,2012,,,,,,,,,,,Primary Transit,CoRoT-27,,,,0.1,0.1,0.1,1.05,0.11,0.11,1.08,0.06,0.18,4.21,2.72,2.72,5900,120,120
CoRoT-28 b,,,,0.484,0.087,0.087,0.955,0.066,0.066,5.20851,0.00038,0.00038,0.059,0.0027,0.0027,0.047,0.038,0.055,,,,2012,126,61,140,,,,,,,,Primary Transit,CoRoT-28,560,70,70,0.15,0.1,0.1,1.01,0.14,0.14,1.78,0.11,0.11,12,1.5,1.5,5150,100,100
CoRoT-29 b,0.85,0.2,0.2,0.85,0.2,0.2,0.9,0.16,0.16,2.85057,6E-06,6E-06,0.039,0.002,0.002,0.082,0.081,0.081,87.3,2.7,2.7,2012,87,210,49,,,,,,,,Primary Transit,CoRoT-29,765,50,50,0.2,0.1,0.1,0.976,0.14,0.14,0.9,0.12,0.12,4.5,3.5,3.5,5260,100,100
CoRoT-3 b,21.66,1,1,,,,1.19,0.1,0.1,4.2567994,5E-06,5E-06,0.057,0.003,0.003,0,,,85.9,0.8,0.8,2008,,,,,,,,,,,Primary Transit,CoRoT-3,680,160,160,0.14,0.04,0.04,1.41,0.08,0.08,1.44,0.08,0.08,2,0.4,0.4,6558,44,44
CoRoT-30 b,2.9,0.22,0.22,,,,1.009,0.076,0.076,9.06005,0.00024,0.00024,0.0844,0.0012,0.0012,0.007,0.031,0.031,90,0.56,0.56,2017,178.1,100,100,,,,,,,,Primary Transit,CoRoT-30,960,40,68,0.02,0.1,0.1,0.98,0.05,0.03,0.91,0.03,0.09,3,2.4,3.7,5660,90,10
CoRoT-31 b,0.84,0.34,0.34,,,,1.46,0.3,0.3,4.62941,0.00075,0.00075,0.0586,0.0034,0.0034,0.02,0.16,0.16,83.2,2.3,2.3,2017,303.6,107.9,107.9,,,,,,,,Primary Transit,CoRoT-31,2190,710,710,0,0.1,0.1,1.25,0.22,0.22,2.15,0.6,0.56,4.7,2.2,4.7,5370,126,99
CoRoT-32 b,0.15,0.1,0.1,,,,0.57,0.06,0.06,6.71837,1E-05,1E-05,0.071,0.001,0.001,,,,89,0.5,0.5,2017,,,,,,,,,,,Primary Transit,CoRoT-32,,,,0,0.2,0.2,1.09,0.08,0.08,0.79,0.09,0.09,,,,5970,100,100
CoRoT-33 b,59.2,1.8,1.8,59,1.8,1.8,1.1,0.53,0.53,5.819143,1.8E-05,1.8E-05,0.0579,,,0.07,0.0016,0.0016,85.5,0.5,0.5,2015,179.3,0.87,0.87,,,,,,,,Primary Transit,CoRoT-33,,,,0.44,0.1,0.1,0.86,0.004,0.004,0.94,0.008,0.14,4.6,0,5,5225,80,80
CoRoT-4 b,0.72,0.08,0.08,,,,1.19,0.05,0.05,9.20205,0.00037,0.00037,0.09,0.001,0.001,0,0,0,90,0.085,0.085,2008,,,,,,,,,,,Primary Transit,CoRoT-4,,,,0.05,0.07,0.07,1.1,0.02,0.02,1.15,0.03,0.03,1,0.3,0.3,6190,60,60
CoRoT-5 b,0.467,0.024,0.047,,,,1.33,0.047,0.047,4.0378962,1.9E-06,1.9E-06,0.04947,0.00029,0.00029,0.09,0.04,0.04,85.83,1.38,1.38,2008,231.7,48,48,,,,,,,,Primary Transit,CoRoT-5,400,0,0,-0.25,0.06,0.06,1,0.02,0.02,1.186,0.04,0.04,6.9,1.4,1.4,6100,65,65
CoRoT-6 b,2.96,0.34,0.34,,,,1.166,0.035,0.035,8.886593,4E-06,4E-06,0.0855,0.0015,0.0015,0.1, , ,89.07,0.3,0.3,2009,,,,2454595.6144,0.0002,0.0002,,,,,Primary Transit,CoRoT-6,,,,-0.2,0.1,0.1,1.055,0.055,0.055,1.025,0.026,0.026,,,,6090,70,70
CoRoT-7 b,0.0149,0.003,0.003,,,,0.136,,,0.853585,2.4E-05,2.4E-05,0.0172,0.00029,0.00029,0.12,0.07,0.07,80.1,0.3,0.3,2009,,,,,,,,,,,Primary Transit,CoRoT-7,150,20,20,0.03,0.07,0.07,0.93,0.03,0.03,0.87,0.04,0.04,1.5,0.3,0.3,5313,73,73
CoRoT-7 c,0.04266,0.0034,0.0034,0.0264,0.0028,0.0028,,,,3.698,0.003,0.003,0.046,,,0.12,0.06,0.06,,,,2009,,,,2454445,0.7,0.7,,,,,Radial Velocity,CoRoT-7,150,20,20,0.03,0.07,0.07,0.93,0.03,0.03,0.87,0.04,0.04,1.5,0.3,0.3,5313,73,73
CoRoT-8 b,0.2158,0.034,0.034,,,,0.5692,0.0196,0.0196,6.21229,3E-05,3E-05,0.063,0.001,0.001,0,,,88.4,0.1,0.1,2010,,,,,,,,,,,Primary Transit,CoRoT-8,380,100,100,0.3,0.1,0.1,0.88,0.04,0.04,0.77,0.02,0.02,3, , ,5080,80,80
CoRoT-9 b,0.84,0.07,0.07,,,,0.94,0.04,0.04,95.273804,0.0014,0.0014,0.407,0.005,0.005,0.133,0.037,0.042,89.9, , ,2010,37,37,37,,,,,,,,Primary Transit,CoRoT-9,460,,,-0.01,0.006,0.006,0.99,0.04,0.04,0.94,0.04,0.04,4,3,3,5625,80,80
Corot-20 c,,,,17,1,1,,,,1675,17,19,2.9,0.07,0.07,0.6,0.03,0.03,,,,2018,65,5.7,5.5,2454136,35,31,,,,,Radial Velocity,CoRoT-20,1230,120,120,0.14,0.12,0.12,1.14,0.08,0.08,0.92,,,0.1,0.04,0.04,5880,90,90
DE CVn b,,,,11,3,3,,,,4098.1,131.5,131.5,5.75,2,2,,,,,,,2018,,,,,,,,,,,TTV,DE CVn,,,,,,,,,,,,,,,,,,
DE0823-49 b,31.5,13,13,,,,,,,247.75,0.64,0.64,0.36,0.01,0.01,0.36,0.04,0.04,52.2,1.5,1.5,2013,41.8,4.9,4.9,,,,,,,,Imaging,DE0823-49,20.69,0.06,0.06,,,,0.045,0.017,0.017,,,,0.1,0.02,0.5,2150,100,100
DH Tau b,11,0.003,0.01,,,,,,,,,,330,,,,,,,,,2005,,,,,,,,,,,Imaging,DH Tau,,,,,,,0.37,0.12,0.12,,,,0.001,0.0009,0.0009,,,
DP Leo (AB) b,6.05,0.47,0.47,,,,,,,10230,730,730,8.19,0.39,0.39,0.39,0.13,0.13,,,,2009,282,20,20,,,,,,,,Timing,DP Leo (AB),,,,,,,0.69,,,,,,,,,,,
DS Tuc A b,0.088,0.041,0.11,,,,0.5085,0.0152,0.0152,8.138268,1E-05,1E-05,0.0795,0.003,0.003,,,,89.5,0.34,0.41,2019,,,,,,,,,,,Primary Transit,DS Tuc A,44.12,0.06,0.06,-0.08,0.06,0.06,0.959,0.031,0.031,0.872,0.027,0.027,0.04,5,5,5597,59,28
DW Lyn b,,,,5.58,1.44,1.44,,,,1450,,,1.148,0.05,0.05,,,,,,,2013,,,,,,,,,,,Timing,DW Lyn,,,,,,,,,,,,,,,,,,
DW Uma b,,,,10.06,,,,,,4967,,,5.8,,,,,,,,,2016,,,,,,,,,,,Radial Velocity,DW Uma,,,,,,,,,,,,,,,,,,
EPIC 201170410 b,,,,,,,0.09341,0.0232,0.025,6.7987,0.0001,0.0001,0.0349,0.0022,0.0027,0,,,89,0.29,0.41,2020,,,,,,,,,,,Primary Transit,EPIC 201170410,,,,,,,,,,,,,,,,,,
EPIC 201238110 b,,,,,,,0.167,0.04,0.018,28.1656,0.0028,0.0027,,,,,,,,,,2019,,,,,,,,,,,Primary Transit,EPIC 201238110,159.98,1.4,1.4,,,,0.41,0.05,0.11,,,,,,,,,
EPIC 201295312 b,0.0379,,,0.0378,,,0.245,0.021,0.021,5.65639,0.00075,0.00075,,,,0.12,0.09,0.22,86.6,,,2016,,,,,,,,,,,Primary Transit,K2-44,483.19,10.19,10.19,0,0.07,0.07,1.15,0.06,0.06,1.58,0.15,0.15,,,,5912,51,51
EPIC 201757695 b,,,,,,,0.08101,0.00571,0.00526,2.0478,0.0001,0.0001,0.0296,0.0005,0.0005,0,,,89.28,0.37,0.37,2020,,,,,,,,,,,Primary Transit,EPIC 201757695,,,,,,,,,,,,,,,,,,
EPIC 201833600 c,,,,,,,0.089,0.01,0.011,3.96151,0.00051,0.00046,,,,,,,,,,2019,,,,,,,,,,,Primary Transit,K2-50,259.33,3.26,3.26,,,,0.61,0.06,0.06,,,,,,,,,
EPIC 201841433 b,,,,,,,0.093,0.003,0.003,4.1698,0.0001,0.0001,0.035,0.001,0.0009,,,,89.001,0.557,0.512,2019,,,,,,,,,,,Primary Transit,EPIC 201841433,441.94,8.17,8.17,0,,,0.8,0.16,0.08,0.63,0.02,0.04,,,,5053,166,103
EPIC 205084841 b,0.3883,0.303,0.303,,,,1.561,0.152,0.152,11.310099,0.00045,0.00045,0.104,0.003,0.003,,,,87.99,0.17,0.17,2016,,,,,,,,,,,Primary Transit,EPIC 205084841,860.4,76,84,0.019,0.175,0.15,1.168,0.094,0.12,1.313,0.11,0.126,,,,6245,284,370
EPIC 205950854 c,,,,,,,0.117,0.006,0.013,8.050722,3.8E-05,7.5E-05,0.06231,0.00062,0.00124,,0.43,0.98,89.81,0.43,0.98,2019,,,,,,,,,,,Primary Transit,K2-168,245.56,4.19,4.19,,,,0.88,0.03,0.06,0.83,0.043,0.087,,,,5502.7,50.5,101
EPIC 206024342 b,,,,,,,0.152,0.028,0.053,4.50756,0.0006,0.00062,,,,,,,,,,2019,,,,,,,,,,,Primary Transit,EPIC 206024342,373.81,4.99,4.99,,,,0.93,0.1,0.08,,,,,,,,,
EPIC 206042996 b,,,,,,,0.145,0.017,0.015,5.29711,0.0007,0.00074,,,,,,,,,,2019,,,,,,,,,,,Primary Transit,EPIC 206042996,457.27,13.79,13.79,,,,0.56,0.05,0.05,,,,,,,,,
EPIC 206061524 b,,,,,,,0.978,0.02,0.024,5.8797,0.0015,0.0018,0.0563,0.004,0.004,,,,86.2,0.4,0.4,2016,,,,,,,,,,,Primary Transit,EPIC 206061524,284.84,4.43,4.43,,,,,,,,,,,,,,,
EPIC 206215704 b,,,,,,,0.08,0.018,0.017,2.25372,0.00047,0.00047,,,,,,,,,,2019,,,,,,,,,,,Primary Transit,EPIC 206215704,110.22,1.08,1.08,,,,0.41,0.08,0.1,,,,,,,,,
EPIC 206317286 b,,,,,,,0.086,0.013,0.01,1.58252,0.00018,0.00017,,,,,,,,,,2019,,,,,,,,,,,Primary Transit,EPIC 206317286,317.2,2.94,2.94,,,,0.71,0.03,0.09,,,,,,,,,
EPIC 211442297 b,0.84,0.18,0.2,,,,1.115,0.057,0.061,20.273034,3.6E-05,3.7E-05,0.1367,0.0012,0.001,0.137,0.072,0.074,88.82,0.15,0.15,2017,104,41,52,,,,,,,,Primary Transit,K2-115,418.58,4.2,4.2,-0.1,0.05,0.05,0.95,0.02,0.02,0.88,0.01,0.01,10.7,1.7,4.2,5657,60,60
EPIC 211822797 b,,,,,,,0.177,0.01,0.01,21.169861,0.001695,0.001725,0.131,0.005,0.004,0.06,0.048705,0.13597,89.73,0.22,0.19,2016,-21.51,119.8417,137.3198,,,,,,,,Primary Transit,EPIC 211822797,187.19,1.37,1.37,,,,0.66,0.07,0.07,0.57,0.03,0.03,0.8,,,4148.21,80.21,82.41
EPIC 211939692.01,,,,,,,0.232,0.008,0.008,26.8549,0.0002,0.0002,,,,0.16,0.1,0.1,,,,2019,270,30,30,,,,,,,,Primary Transit,EPIC 211939692,,,,,,,1.22,0.02,0.02,1.29,0.2,0.11,,,,6417,72,120
EPIC 211939692.02,,,,,,,0.232,0.009,0.009,39.553,0.0003,0.0003,,,,0.06,0.06,0.1,,,,2019,197,20,20,,,,,,,,Primary Transit,EPIC 211939692,,,,,,,1.22,0.02,0.02,1.29,0.2,0.11,,,,6417,72,120
EPIC 211945201 b,0.085,0.0396,0.044,,,,0.514,0.027,0.027,19.49221,0.000653,0.000666,0.1493,0.0015,0.0015,0,,,87.9,0.06,0.06,2018,,,,,,,,,,,Primary Transit,EPIC 211945201,182.69,1.29,1.29,0.1,0.1,0.1,1.17,0.04,0.04,1.39,0.02,0.02,3.99,0.7,0.85,6069,90,90
EPIC 212036875 b,51,2,2,,,,0.83,0.03,0.03,5.16992,2E-05,2E-05,0.0621,0.002,0.0016,0.134,0.002,0.002,83.9,0.2,0.2,2019,163,1,1,2458130.538,0.065,0.068,,,,,Primary Transit,EPIC 212036875,,,,-0.23,0.1,0.1,1.1241,0.11,0.1,1.4,0.06,0.06,4.6,1.9,2.6,6231,50,50
EPIC 212297394 b,,,,,,,0.118,0.008,0.007,2.28943,0.00019,0.00019,,,,,,,,,,2019,,,,,,,,,,,Primary Transit,EPIC 212297394,423.35,7.34,7.34,,,,0.83,0.12,0.09,,,,,,,,,
EPIC 212424622 b,,,,,,,0.194,0.037,0.06,18.0983,0.0058,0.006,,,,,,,,,,2019,,,,,,,,,,,Primary Transit,EPIC 212424622,622.67,10.4,10.4,,,,1.11,0.12,0.14,,,,,,,,,
EPIC 212587672 b,,,,,,,0.1,0.008,0.011,15.2841,0.0029,0.0037,,,,,,,,,,2019,,,,,,,,,,,Primary Transit,EPIC 212587672,322.88,6.33,6.33,,,,0.95,0.04,0.04,,,,,,,,,
EPIC 212737443 b,0.02907,0.00831,0.00831,,,,0.231,0.011,0.011,13.603,0.0013,0.0013,0.098,0.004,0.004,0.2,0.2,0.2,89.071,0.161,0.161,2019,,,,,,,,,,,Primary Transit,EPIC 212737443,347.45,12.01,12.01,-0.137,0.12,0.12,0.69,0.038,0.038,0.67,0.02,0.02,,,,4684,79,79
EPIC 212737443 c,0.0303,0.00812,0.00812,,,,0.24,0.01303,0.01303,65.55,0.009,0.009,0.28,0.006,0.006,,,,89.63,0.044,0.044,2019,,,,,,,,,,,Primary Transit,EPIC 212737443,347.45,12.01,12.01,-0.137,0.12,0.12,0.69,0.038,0.038,0.67,0.02,0.02,,,,4684,79,79
EPIC 219388192 b,36,1.6,1.6,,,,0.846,0.021,0.021,5.292569,2.6E-05,2.6E-05,0.0593,0.0013,0.0013,0.1893,0.0021,0.0021,89.63,0.38,0.26,2016,346,1.3,1.3,2457339.826,0.019,0.019,,,,,Primary Transit,EPIC 219388192,300,24,24,0.03,0.08,0.08,0.99,0.05,0.05,1.01,0.04,0.04,3.9,1.9,1.9,5850,85,85
EPIC 220554210 c,,,,,,,0.132,0.009,0.012,0.70531,5E-05,5E-05,,,,,,,,,,2019,,,,,,,,,,,Primary Transit,K2-282,502.28,7.77,7.77,,,,0.94,0.04,0.04,,,,,,,,,
EPIC 220674823 b,0.0263,0.003,0.003,,,,0.162,0.009,0.009,0.571331,2.1E-05,2E-05,0.0134,0.0002,0.0002,0,,,86.4,4.1,2.5,2016,,,,,,,,,,,Primary Transit,EPIC 220674823,246.1,2.97,2.97,0.13,0.06,0.06,0.97,0.04,0.04,0.98,0.02,0.02,5,,,5617,86,86
EPIC 220674823 c,0.018,0.0094,0.01,,,,0.244,0.016,0.016,13.339079,0.001859,0.00194,0.1091,0.0015,0.0014,0.18,0.15,0.15,89.35,0.46,0.46,2016,178,74,58,,,,,,,,Primary Transit,EPIC 220674823,246.1,2.97,2.97,0.13,0.06,0.06,0.97,0.04,0.04,0.98,0.02,0.02,5,,,5617,86,86
EPIC 246193072 b,0.26,0.022,0.022,,,,0.774,0.026,0.026,12.4551225,3.1E-06,3.1E-06,0.1016,0.0019,0.0019,0.0697,0.04,0.04,89.22,0.1,0.1,2020,161,30,22,,,,,,,,Primary Transit,EPIC 246193072,230.4,3,3,0.098,0.07,0.065,0.901,0.049,0.049,0.822,0.026,0.026,1.8,1.3,2.2,5282,40,40
EPIC 246851721 b,3,1.2,1.1,3,1.2,1.1,1.051,0.044,0.044,6.180235,1.4E-05,1.4E-05,0.07229,0.00075,0.00074,,,,86.21,0.17,0.17,2018,,,,2457858.93009,0.0001,0.0001,358.53,0.86,0.87,,Primary Transit,EPIC 246851721,376,18,18,0.139,0.084,0.082,1.324,0.04,0.04,1.624,0.035,0.036,3.09,0.41,0.42,6189,52,47
EPIC 249893012 b,0.02753,0.00343,0.00343,,,,0.174,0.008,0.008,3.5951,0.0003,0.0003,0.047,0.007,0.005,0.06,0.04,0.08,86.14,3.5,2.6,2020,225,123,67,,,,,,,,Primary Transit,EPIC 249893012,324.7,4.2,4.2,0.2,0.05,0.05,1.05,0.05,0.05,1.71,0.04,0.04,9,0.6,0.6,5430,85,85
EPIC 249893012 c,0.04616,0.00595,0.00595,,,,0.3274,0.0125,0.0152,15.624,0.001,0.001,0.13,0.02,0.01,0.07,0.05,0.08,87.94,1.05,0.74,2020,217,170,100,,,,,,,,Primary Transit,EPIC 249893012,324.7,4.2,4.2,0.2,0.05,0.05,1.05,0.05,0.05,1.71,0.04,0.04,9,0.6,0.6,5430,85,85
EPIC 249893012 d,0.03203,0.00761,0.00774,,,,0.3515,0.0116,0.0116,35.747,0.005,0.005,0.22,0.04,0.02,0.15,0.11,0.21,,,,2020,181,61,81,,,,,,,,Primary Transit,EPIC 249893012,324.7,4.2,4.2,0.2,0.05,0.05,1.05,0.05,0.05,1.71,0.04,0.04,9,0.6,0.6,5430,85,85
FL Lyr b,,,,9,1,1,,,,4400,180,180,,,,,,,,,,2015,,,,,,,,,,,Timing,FL Lyr,138,45,45,,,,2.2,,,,,,,,,,,
FU Tau b,15,,,,,,,,,,,,800,,,,,,,,,2009,,,,,,,,,,,Imaging,FU Tau,140,,,,,,0.05,,,,,,0.001,,,2838,,
Fomalhaut b,0.208,,,,,,,,,320000,,,117,,,0.11,0,0,,,,2008,,,,,,,,,,,Imaging,Fomalhaut,7.704,0.028,0.028,,,,1.92,0.02,0.02,1.842,0.019,0.019,0.44,0.04,0.04,8590,73,73
G 196-3 b,15,4,30,,,,,,,,,,,,,,,,,,,1998,,,,,,,,,,,Imaging,G 196-3,21.805,0.0185,0.0185,,,,0.4,0.05,0.05,,,,,,,3400,100,100
G 264-012 b,,,,0.0079,0.0009,0.0009,,,,2.30538,0.00031,0.00031,0.02279,0.00061,0.00061,,,,,,,2021,,,,2458003.235,0.073,0.069,,,,,Radial Velocity,G 264-012,15.986,0.1,0.1,0.1,0.19,0.19,0.297,0.024,0.024,0.305,0.011,0.011,,,,3326,54,54
G 264-012 c,,,,0.0118,0.00151,0.00151,,,,8.0518,0.0034,0.0034,0.0525,0.0014,0.0014,,,,,,,2021,,,,1458004.4,0.24,0.24,,,,,Radial Velocity,G 264-012,15.986,0.1,0.1,0.1,0.19,0.19,0.297,0.024,0.024,0.305,0.011,0.011,,,,3326,54,54
G 9-40 b,0.016,0.006,0.012,,,,0.181,0.009,0.009,5.746007,6E-06,6E-06,0.0385,0.0053,0.0078,0,,,88.57,0.47,0.63,2019,0,,,,,,,,,,Primary Transit,G 9-40,27.93,0.04,0.04,0.04,0.11,0.1,0.29,0.02,0.02,0.31,0.01,0.01,9.9,4.1,2.6,3348,32,32
G204-39 b,29,8,8,,,,,,,,,,2685,,,,,,,,,2010,,,,,,,,,,,Imaging,G204-39,13.9908,0.00693,0.00693,,,,0.36,,,,,,1,0.5,0.5,,,
